Sequence ID,Sequence Name,Owner,Category,Recommendation
107,FOX_2026_REENGAGE_FOWAF_FO_US_Mel,Mel Simms,1 - USE (current reengage wave),Enroll the new lists here. One per rep.
108,FOX_2026_REENGAGE_FOWAF_Advisor_MFO_US_Dave,Dave Blide,1 - USE (current reengage wave),Enroll the new lists here. One per rep.
109,FOX_2026_REENGAGE_FOWAF_INT_Miguel,Miguel Lopez de Silanes,1 - USE (current reengage wave),Enroll the new lists here. One per rep.
1,International Reengage + FOWAF June-July 2025 - Callie Kim,Callie Kim,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
5,Peter Referral's Reengage (07/2025) - Commercial,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
6,Peter Referral's Reengage (07/2025) - Family's Updates,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
9,Jake Sends Peter Referral's Reengage (07/2025) - Family's Updates,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
14,Reengage summer inquiries - FO focused,Harley Tobon,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
51,TEST,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
53,Mel // 2025 Deal closed Lost - Reengage - FF + 2026 Event - Focus: FAMILY,Mel Simms,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
58,Mel // 2025 Deal closed Lost - Reengage - FF + 2026 Event - Focus: COMMERCIAL,Mel Simms,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
67,2026 Reengage - Family Office - Dave Blide,Dave Blide,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
68,2026 Reengage - All prospects - Callie Kim,Jake Shulman,2 - ARCHIVE (reengage duplicate / obsolete / test),Superseded by #107/#108/#109 or old/test. Safe to archive.
